company_id,name,sector,cagr,sfr,margin,investing_score
568,Tyson Foods,E-commerce platforms,0.07409843077300171,30.23469387755102,0.0726158733760708,0.6399455836837522
576,Humana,GovTech / RegTech / MedTech,0.11149970644752893,,0.03895177520571327,0.5038728206720523
581,Travelzoo,Advertising & attention,0.6101388751050429,4.434981304528459,0.1272317703987986,0.8006916935008788
593,Titan Security Group,Cybersecurity & identity,0.10032453528767626,4.497426761678543,0.0255261302707819,0.6040599453275513
596,Cambium Networks,Enterprise / ERP / HRM,0.20963534984804744,0.06922957016484159,0.010579001589976596,0.5044395031349558
604,Cushman & Wakefield,Enterprise / ERP / HRM,0.4277859260887922,,0.005197692266977187,0.673826267313767
619,Veradigm LLC,GovTech / RegTech / MedTech,,1.2505940648774108,0.1756949799955488,0.7274215049802074
622,Instructure,E-learning & skill platforms,,0.2957613962459425,0.046528896465126146,0.6674450421777715
636,Nielsen,Advertising & attention,,,0.4686732740943267,0.9873524005836669
639,Huron,Enterprise / ERP / HRM,0.6606474269392555,,0.1179832625946861,0.8075842576901517
640,"Hologram, Inc.",Developer tooling,,0.163451755756284,0.11116536417993249,0.6651731769374699
644,Authentic,Advertising & attention,,-3.9964121143902354,-29.776050563717117,0.0
650,Scientific Games,Gaming & virtual environments,0.6053482865429927,2.3378378378378377,0.23604410751206065,0.7370613867971707
655,Littelfuse,Developer tooling,,3.6449052514424625,,0.7637571316104671
656,Perficient,Productivity & collaboration,,,0.4032369525408992,0.9777765986093678
658,Elastic,Search engines,0.5238353176583448,-0.1848219144947693,-0.07147467377578223,0.6124260366438132
659,Ares Management Corporation,Fintech & payments,0.2181875560138955,,-0.49453371259072987,0.5284564460926734
680,DoubleVerify,Advertising & attention,0.2810198762617979,0.544633765136716,0.11643799240061661,0.5513655396654438
688,Allstate,Fintech & payments,0.10774044020215223,,0.3942049035431558,0.5241077667890373
704,Federal Home Loan Bank of Chicago,Fintech & payments,,,,
735,Upwork,Marketplaces & gig platforms,0.19789184292125106,0.06109504237073121,0.015724037055095074,0.4999349062372596
738,Duck Creek Technologies,Enterprise / ERP / HRM,,0.38511023154837465,0.147135116116893,0.6795342302397488
752,PayPal,Fintech & payments,0.1552209824380777,,0.22906819716407834,0.5395820425968947
754,CME Group,Fintech & payments,0.5369752514100357,,0.5410208391441208,0.7668337165736764
758,Cboe Global Markets,Fintech & payments,,,,
762,Interactive Brokers,Fintech & payments,0.11328672524702776,,2.0070814365199796,0.5372159033110039
769,Methode Electronics,Enterprise / ERP / HRM,0.38739639029303685,3.3753581661891117,0.34517766497461927,0.6917918608371385
788,iHeartMedia,Advertising & attention,0.4247165990173769,,0.08812871148552728,0.6773575653195836
791,Workday,Enterprise / ERP / HRM,0.6006056446933659,0.4601373070782331,0.22744179639068743,0.6752618524322952
801,Spectrum,Smartphones & OS,0.2614317466235754,10.872659176029963,0.09267358339984039,0.7121670939435978
813,Cloudflare,Developer tooling,0.40288031239274513,-0.05742148084330362,-0.01756386370138253,0.5727751508324593
832,TaskUs,Enterprise / ERP / HRM,0.20112086484484615,,0.059429339155894934,0.553914028450873
835,Journal Technologies Inc,GovTech / RegTech / MedTech,,,,
859,Southwest Airlines,Marketplaces & gig platforms,0.32016400253044996,,0.13790343121202198,0.6235991053204119
891,Octave,GovTech / RegTech / MedTech,-0.3485683248787572,,-3.019569471624266,0.20438182163125518
