company_id,company_name,cik,matched_name
2354,ZoomInfo,1794515,ZoomInfo Technologies Inc.
2358,Guidewire Software,1528396,"Guidewire Software, Inc."
2363,Constant Contact,1405277,"Constant Contact, Inc."
2366,"Praxis Precision Medicines, Inc.",1689548,"Praxis Precision Medicines, Inc."
2370,Charles River CFO,1100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
2371,Blueprint Medicines,1597264,Blueprint Medicines Corp
2374,Revvity,31791,"REVVITY, INC."
2391,Analogic,6284,ANALOGIC CORP
2394,Victory Capital,1570827,"Victory Capital Holdings, Inc."
2401,General Motors,40730,GENERAL MOTORS CORP
2402,SailPoint,2030781,"SailPoint, Inc."
2415,SciPlay,1760717,SciPlay Corp
2417,Sysco LABS,96021,SYSCO CORP
2421,"Riot Platforms, Inc.",1167419,"Riot Platforms, Inc."
2446,Heartflow,1464521,"Heartflow, Inc."
2452,Sana,1770121,"Sana Biotechnology, Inc."
2454,Ambiq Micro,1500412,"Ambiq Micro, Inc."
2457,Natera,1604821,"Natera, Inc."
2465,MNTN,1891027,"MNTN, Inc."
2469,Leidos,1336920,"Leidos Holdings, Inc."
2482,DISCO,1625641,"CS Disco, Inc."
2483,Iris Software Inc.,319240,IRIS INTERNATIONAL INC
2499,Ethos,1788451,Ethos Technologies Inc.
2522,Accenture,1467373,Accenture plc
2532,YETI,1670592,"YETI Holdings, Inc."
2536,Veracyte,1384101,"VERACYTE, INC."
2547,agilon health,1831097,"agilon health, inc."
2551,Richtech Robotics,1963685,RICHTECH ROBOTICS INC.
2557,"Visa Inc,",1403161,Visa Inc.
2558,Volcon ePowersports,1829794,"Volcon, Inc."
2588,Core Scientific,1839341,"Core Scientific, Inc./tx"
2591,Atlas Energy Solutions,1984060,Atlas Energy Solutions Inc.
2598,Procore Technologies,1611052,"PROCORE TECHNOLOGIES, INC."
2606,Sprinklr,1569345,"Sprinklr, Inc."
2617,Embark,1827980,"Embark Technology, Inc."
2623,SolarWinds,1739942,SolarWinds Corp
2628,Hippo Insurance,1828105,Hippo Holdings Inc.
2647,Digital Realty,1494877,"Digital Realty Trust, L.P."
2659,CDK Global,1609702,"CDK Global, Inc."
2660,eBay,1065088,EBAY INC
2667,TrueCar,1327318,"TrueCar, Inc."
2684,Gartner,749251,GARTNER INC
2688,Vital Farms,1579733,"Vital Farms, Inc."
2712,Asure Software,884144,ASURE SOFTWARE INC
2729,Care.com,1412270,Care.com Inc
2759,Zendesk,1463172,"Zendesk, Inc."
2771,Microchip Technology Inc.,827054,MICROCHIP TECHNOLOGY INC
2774,Confluent,1699838,"Confluent, Inc."
2775,Firefly Aerospace,1860160,Firefly Aerospace Inc.
2777,Builders,1316835,"Builders FirstSource, Inc."
2783,Upland Software,1505155,"Upland Software, Inc."
2793,Mesa,810332,MESA AIR GROUP INC
2796,Way,23675,Con-way Inc.
2801,GitLab,1653482,Gitlab Inc.
2805,Samsara,1530163,"Samsara Luggage, Inc."
2809,Micron Technology,723125,MICRON TECHNOLOGY INC
2816,Cencora,1140859,"Cencora, Inc."
2821,Comcast,1166691,COMCAST CORP
2836,Doximity,1516513,"Doximity, Inc."
2843,Globe Life,320335,GLOBE LIFE INC.
2847,Magna International,1093273,MAGNA ENTERTAINMENT CORP
2851,PagerDuty,1568100,"PagerDuty, Inc."
2864,Pluralsight,1725579,"Pluralsight, Inc."
2871,DigitalOcean,1582961,"DigitalOcean Holdings, Inc."
2886,Ibotta,1538379,"Ibotta, Inc."
2899,FirstBank,778972,FIRSTBANK CORP
2913,Bandwidth Inc.,1514416,Bandwidth Inc.
2943,Net Health,916085,HEALTH NET INC
2944,Capital City Bank Group,726601,CAPITAL CITY BANK GROUP INC
2954,IQVIA,1478242,IQVIA HOLDINGS INC.
2963,WESCO International,929008,WESCO INTERNATIONAL INC
2964,Zumiez,1318008,Zumiez Inc
2978,Venture Global LNG,2007855,"Venture Global, Inc."
2997,Red Hat,1087423,RED HAT INC
2998,Acadia Pharmaceuticals Inc.,1070494,ACADIA PHARMACEUTICALS INC
3054,MARA,1507605,"MARA Holdings, Inc."
3055,Rapid Micro Biosystems,1380106,"RAPID MICRO BIOSYSTEMS, INC."
3074,Deluxe Media Inc.,27996,DELUXE CORP
3110,LivaNova,1639691,LivaNova PLC
3139,Mobile Solutions,842919,Xstream Mobile Solutions Corp
3147,CarMax,1170010,CARMAX INC
3174,HubSpot,1404655,HUBSPOT INC
3192,Revolution Medicines,1628171,"Revolution Medicines, Inc."
3197,Lamar Advertising Company,1090425,LAMAR ADVERTISING CO/NEW
3200,FMC Corporation,37785,FMC CORP
3226,Gener8,1443799,"Gener8 Maritime, Inc."
3231,StandardAero,2025410,"StandardAero, Inc."
3249,Recursion,1601830,"RECURSION PHARMACEUTICALS, INC."
3258,Ozone,314227,"Ozone Man, Inc."
3275,Alignment Healthcare,1832466,"Alignment Healthcare, Inc."
3294,Weatherford,1453090,Weatherford International Ltd./Switzerland
3299,First American Title,36047,FIRST AMERICAN CORP
3308,Unisys,746838,UNISYS CORP
3316,Zoetis Inc.,1555280,Zoetis Inc.
3349,Aspen Technology,929940,ASPEN TECHNOLOGY INC /DE/
3368,Capital Bank,1071992,CAPITAL BANK CORP
3473,"TTM Technologies, Inc.",1116942,TTM TECHNOLOGIES INC
3496,Q ANALYSTS LLC,6292,ANALYSTS INTERNATIONAL CORP
3497,Septerna,1984086,"Septerna, Inc."
3503,Neuberger Berman,1068144,NEUBERGER BERMAN INC
3549,Avado,849101,AVADO BRANDS INC
3551,Mesa Laboratories,724004,MESA LABORATORIES INC /CO
3562,Stake Capital Group,351834,STAKE TECHNOLOGY LTD
3568,Velo3D,1825079,"Velo3D, Inc."
3570,Array,1100412,ARRAY BIOPHARMA INC
3576,Fuse,319016,"Fuse Medical, Inc."
3594,Church & Dwight,313927,CHURCH & DWIGHT CO INC /DE/
3599,Gray Media,43196,"GRAY MEDIA, INC"
3609,Winton,857907,WINTON FINANCIAL CORP
3620,Federal Home Loan Bank Of Pittsburgh,1330399,Federal Home Loan Bank of Pittsburgh
3623,Clubhouse,1389518,"Clubhouse Media Group, Inc."
3643,The Scotts Miracle-Gro Company,825542,SCOTTS MIRACLE-GRO CO
3651,Match Group,891103,"Match Group, Inc."
3664,Equifax Inc.,33185,EQUIFAX INC
3680,Firefly,803578,"FIREFLY NEUROSCIENCE, INC."
3681,Zymeworks,1403752,Zymeworks Inc.
3689,Kimball Electronics,1606757,"Kimball Electronics, Inc."
3735,G Adventures,1419122,"Silverton Adventures, Inc."
3749,Deluxe,27996,DELUXE CORP
3771,Archipelago Analytics,1107389,ARCHIPELAGO HOLDINGS INC
3807,Roivant Sciences,1635088,Roivant Sciences Ltd.
3833,Limitless Management Group,1803977,Limitless X Holdings Inc.
3850,Lumenis,1004945,LUMENIS LTD
3861,Raymond James,720005,RAYMOND JAMES FINANCIAL INC
3863,Telos Media,320121,TELOS CORP
3865,Cognition,1455365,COGNITION THERAPEUTICS INC
3875,CIMA+,833298,CIMA LABS INC
3919,Gap International,39911,GAP INC
3922,State Street,93751,STATE STREET CORP
3931,Quanta Services,1050915,QUANTA SERVICES INC
3937,Eversource Energy,72741,EVERSOURCE ENERGY
3940,Inari Medical,1531048,"Inari Medical, Inc."
3981,Disruptive Technologies,1498380,"ONLINE DISRUPTIVE TECHNOLOGIES, INC."
